# name	youtube_channel_id	x_handle   (탭 구분, 없는 칸은 비움)
Andrej Karpathy	UCYO_jab_esuFRV4b17AJtAw	karpathy
Yannic Kilcher	UCHmD-oSpV0sNfAUnpYpj8KA	ykilcher
Two Minute Papers	UCbfYPyITQ-7l4upoX8nvctg	twominutepapers
AI Explained	UCNJ1Ymd5yFuUPtn21xtRbbw	AIExplainedYT
Matt Wolfe	UChpleBmo18P08aKCIgti38g	mreflow
Andrew Ng	UCcIXc5mJsHVYTZR1maL5l9w	AndrewYNg
3Blue1Brown	UC1_uAIS3r8Vu6JjXWvastJg	3blue1brown
Jim Fan		DrJimFan
swyx		swyx
Simon Willison		simonw
Sam Altman		sama
Greg Brockman		gdb
Demis Hassabis		demishassabis
